"Country","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BAHRAIN",69.67671233,66.40821918,61.40273973,60.25136612,55.98630137,51.32328767,49.08493151,48.24590164,46.08219178,43.90410959,42,41.07923497,42.43561644,43.92328767,42.42739726,43.58743169,42.40821918,42.0022,38.00305205,36.7431694,54,193.471,195.471,195.413,199.413,200.633,193.968,197.59,193.358,195.865,199.556,202.007,200.818,197.425,197.383,196.1829,195.5421,193.7077055,202.1414493,185.4937301,210.5174603,216.1996466,216.2019781,215.4983891,213.0229233,211.0910521,211.2315603,184.5248475,188.5446485,201.7772175,192.6722959,NA
"BANGLADESH",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0.4,0.7,0.7,0.6,0.8,0.7,1,0.9,1,3,3,3,3,2.495890411,2,3.591780822,4,4,6,6,6.746,9.56,9.533,8.524,6.386566667,5.6188,5.091,5.088,4.852066667,4.1659,4.1431,4.1263,4.1286,14.9256,14.9247,13.9236,13.73167432,13.4058354,13.09672023,12.79391041,NA
"BARBADOS",NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,2,1.9,1.2,1.2,1,1.1,1,1.2,1,1,1,1,1,1,1,1,1,1.071309589,1.013846575,1.002,1,1,1,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1,1,0.640857534,1.001,1.001,1.001,0.533520548,0.507443836,1.507849315,NA
"BELARUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,40,40,39,36.82993443,36.11455068,36.4997589,37.11616438,36.919,37.04,36.92,36.4,34.679,35.855,36.202,36.211,35.29208,32.257,31.9088,30.71735,30.226,31.1301,32.6124,26.39953151,32.95926667,32.17502466,33.87394247,34.25597671,34.58867869,34.1826539,31.96692342,29.81420293,NA
"BELGIUM",NA,NA,NA,NA,NA,NA,NA,8,8,9,10,11,11,6.1,5.6,8.2,11,11,9.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.688,8.691,11.914,11.224,10.7599,10.9045,21.1237,20.0665,20.2646,20.984,25.5009,21.057,19.9088,19.6025,18.8857,24.3528,23.6427,24.79236143,24.60582958,24.93928079,NA
"BELIZE",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.257309589,2.99979726,3.510663934,3.98950137,4.146978082,3.853449315,2.814051913,2.170838356,1.760041096,1.708493151,1.7,0.989662411,0.825957397,0.970350599,1.7,0,0,0.7871234,NA
"BENIN",NA,NA,NA,NA,NA,NA,NA,0,0,0,4,7,8,8,7,5,4,4,4,5.6,4,3,2,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BERMUDA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BHUTAN",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BOLIVIA",NA,NA,NA,NA,NA,NA,NA,32,26,30,28,27,26,23,24,24,25,26,26,28,25.91506849,33,38,42,41,47,40,38.83107104,43.93034247,44.88394521,47.39079452,56.51426776,51.05228493,63.43208493,64.53701918,51.49911749,45.85590137,47.76684247,49.14199726,57.39386776,64.97111507,68.77626027,73.60934658,77.42940984,78.17478123,56.89210323,52.1234829,48.59407146,65.40553047,61.98388888,57.62912437,NA
"BOSNIA AND HERZEGOVINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.073,-0.059,-0.093,-0.0813,-0.0127,0.05727,0.1061,0.2,0.1707,0.1923,0.1865,0.1942,0.1966,0.1993,0.1884,0.206053623,0.203185142,0.208170287,NA
"BOTSWANA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BRAZIL",NA,NA,NA,NA,NA,NA,NA,245,283,348,460,614,734,740,768,751,790,821,838,824,669.6273973,686.9078959,711.6971671,801.1066803,861.6040301,995.9923808,1129.351074,1268.056689,1336.329485,1499.033715,1548.223647,1584.547093,1756.605677,1863.853005,1895.933534,2429.43031,2554.200047,2714.30939,2687.041653,2655.851935,2697.273262,2954.471433,3170.192264,3219.38208,3356.215654,3412.790656,3659.460139,3767.539011,3689.549811,3810.266189,4281.781027,NA
"BRITISH VIRGIN ISLANDS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BRUNEI",NA,NA,NA,NA,NA,NA,NA,270,188,179,187,175,168,181,150,148,142,160,171,178,190.5205479,183.660274,182,172,170.5945205,165,189,195,203,209.3671233,213,210.3126448,205.9594521,220.3269726,189.9666301,157.7529388,148.8236192,153.2912315,169.3428411,158.7005383,135.4487493,126.781611,126.9654767,120.991988,113.3402507,111.5875548,121.5264411,109.9940913,106.7107226,93.65686408,94.65103046,NA
"BULGARIA",NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,6,-0.2,0.097892685,-1.5,4.7,3.5,0.03394317,0.4,1,1,0.8,0.8,0.8,0.8,0.5,0.5,0.5,1,1,3.661,3.357,3.378,3.125,3.4224,3.0794,3.0589,2.9946,3.3832,3.6614,2.854791781,3.9468,4.2034,6.0457,6.0647,6.0875,5.9982,6.142786379,6.119306323,6.160139962,NA
"BURKINA FASO",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BURMA",NA,NA,NA,NA,NA,NA,NA,30,27,30,30,32,30,24,17,14,16,14,16,15,13,13,9,8,8,8,8,12,12.85123288,16.2,19.90412055,20.24687978,22.751,21.791,21.793,22.03923443,18.70973151,21.04506712,20.636,20.5894,20.5829,20.19624247,15.5365,15.5264,11.5399,9.544,8.5488,8.38719071,8.185863675,7.955364039,7.744753462,NA
"BURUNDI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CABO VERDE",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CAMBODIA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CAMEROON",NA,NA,NA,NA,NA,NA,NA,58,87,109,114,135,185,177,174,163,170,161,153,140,130,116,100.9726027,107,116.9726027,121.4520548,113.9863014,113.7763798,102.8489808,108.2087699,102.1814219,97.5957623,89.8459726,91.88719178,86.83584932,81.76153661,77.35060959,65.4585,62.12417397,63.3659,62.99956438,75.3438,98.3637,92.3527,76.32675205,69.22649452,69.59111143,67.02330056,63.61319305,61.26202584,54.39539004,NA
"CANADA",1798.109589,1550.953425,1430.230137,1313.983607,1321.134247,1316.021918,1500.178082,1435.202186,1284.728767,1271.150685,1356.230137,1437.622951,1471.052055,1474.219178,1534.928767,1616.23224,1560.09589,1552.999671,1547.980644,1605.225025,2176.309589,2293.917792,2400.299962,2479.427137,2589.098973,2672.998107,2603.830929,2721.541634,2727.953578,2858.159321,3003.465178,3158.525459,3202.293929,3382.959641,3492.692685,3345.175097,3308.373718,3429.993474,3583.716571,3842.119036,4056.852488,4378.22067,4493.867162,4576.81882,4946.555156,5348.14556,5477.585795,5234.650102,5537.451003,5693.533535,5763.264955,NA
"CAYMAN ISLANDS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CENTRAL AFRICAN REPUBLIC",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CHAD",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.69863014,173.0737705,170,156.2465753,144,127.1639344,119.4712329,122.5205479,114.9643836,104.4836066,100,121,123,114,127.919117,131.5152395,128,122.7540984,105.5232877,109.5643836,124.0109589,NA
"CHILE",NA,NA,NA,NA,NA,NA,NA,46,52,54,50,50,48,44,43,38,36,35,32,29,19.33150685,18.93142466,14.53164658,12.8473306,10.16122192,9.862720548,9.783109589,9.035215847,10.28730137,9.35849863,8.520512329,13.62626503,12.32885753,16.94473151,15.28143288,12.55837923,12.71777671,17.7330411,18.08686712,17.19237158,15.69345616,14.10076575,12.65317397,11.01479727,11.85453425,15.18615205,18.9192411,15.91923607,15.96594636,16.764406,18.0743482,NA
"CHINA",1089.879452,1315.131507,1490.013699,1669.751366,1873.942466,2082.09863,2122.063014,2113.852459,2012.438356,2045,2119.60274,2295.669399,2505.164384,2620.287671,2690,2730.319672,2756.791781,2773.999159,2835.00043,2844.663106,2912.145205,2921.825737,3000.498477,3138.090787,3214.456132,3224.475868,3203.404205,3260.871844,3290.205964,3352.296463,3402.269625,3756.644986,3856.439288,3930.162238,4028.708868,4169.733267,4196.292307,4557.519474,4616.179716,4707.142517,4840.534912,4982.802595,5103.410151,4838.198455,4688.22272,4706.352145,4825.03585,4828.245994,4964.475354,5117.647527,5261.236086,NA
"COLOMBIA",NA,NA,NA,NA,NA,NA,NA,134,133,149,158,174,182,315,396,387,417,454,430,445,456.3643836,463.512126,588.6681863,634.9225137,656.1949781,744.7232877,820.4654767,688.1857923,605.9923178,580.1444575,545.3318575,538.3320301,538.6226685,542.2927178,546.5745151,603.3667109,689.3770562,804.6706658,937.4966507,973.4439721,1032.289732,1015.185547,1034.178438,914.9251536,884.3143851,892.9452643,916.4082891,812.2474289,767.5322711,784.9995885,808.0599319,NA
"COMOROS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CONGO-BRAZZAVILLE",35,61,37,39,33,33,57,65,83,89,87,121,120,119,123,144,164,165,156,174,188.7808219,176,180.4794521,200.4726776,225.1506849,249.4465753,266.997263,265.1809262,247.5600575,238.4389699,216.8787671,224.7071831,246.4456384,278.0806986,223.4084603,239.8934918,274.536274,345.9815164,295.8984521,270.4483497,248.094526,241.0684849,245.2764,204.8003251,252.6423901,347.2824123,335.4958175,288.9654533,270.7487473,279.3481053,266.767736,NA
"CONGO-KINSHASA",NA,NA,NA,NA,NA,NA,NA,20,20,23,25,32,33,32,32,30,28,29,28,26,23,25,28,29,28,26,26,23,25,23,26,28,25,24,24,19.95765027,22,21,20.16164384,20,20,20,20,20,19,25,24,23,22,21,19,NA
"COOK ISLANDS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"COSTA RICA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.023,1.877,1.856,2.637,2.3118,1.2225,-0.0926,-0.0327,1.259,1.324,1.331,1.479,1.571,0,0,0,0,0.4,0.4,0.4,NA
"COTE D'IVOIRE",NA,NA,NA,NA,NA,NA,NA,2,8,10,24,28,29,20,18,12,1.7,1.7,1.8,1.3,6,7,7,16,14,10,10,7,6,15.8630137,22.93150685,24.777,40.936,63.297,49.044,59.90072732,58.39086027,44.43487671,40.1494411,38.56130055,37.8395,36.8107,30.63850137,41.54509016,39.086376,38.04986,40.404989,37.79513737,34.10932296,31.41025113,30.54148339,NA
"CROATIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,39.48767123,38.75692329,38,35.89147268,37.17418082,33.78827123,31.7578137,28.2893388,27.31292329,25.17533425,24.09253973,26.59235519,24.19738356,23.54375342,23.49542466,21.96256667,23.93752192,23.04026164,20.70625479,19.90793333,19.73326027,19.20043014,17.77737808,17.55436721,17.96093699,17.97708082,17.61460959,15.82402623,15.50205567,15.091521,14.47508084,NA
"CUBA",NA,NA,NA,NA,NA,NA,NA,6,9,11,13,16,19,17,17,13,13,12,12,16,20,23,26,26,26,30,38,51.131,54.796,66.04,68.074,60.895,54.186,53.606,53.095,52.774,48.638,58.755,59.719,59.615,57.855,58.56,53.763,48.376,47.008,45.99,40.969,39.46830055,36.8296815,34.59971718,32.60660449,NA
"CYPRUS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.019478958,-0.014733574,-0.011273702,0.022656951,0.046594227,-0.034491628,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.073,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0,0.01,0,0,0,0,0,0,0,NA
"CZECHIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.323126027,5.531747945,4.96997541,9.096054795,8.813953425,7.978284932,7.537986339,7.194528767,8.334345205,9.391909589,17.22988251,17.66733973,13.12536712,13.46951781,11.45446831,9.866409589,15.13348082,15.57843151,15.9663,13.6034,16.8684,16.11971644,14.20323333,11.8499411,10.62148767,9.575063014,10.15842295,10.46574385,9.023746551,9.070515524,NA
"DENMARK",NA,NA,NA,NA,NA,NA,NA,5.3,15,34,44,46,58,76,97,99,117,121,144,163,167.5369863,184.9489863,186.0030822,207.8164536,230.3291808,237.859337,299.8827726,363.0328716,347.9965945,370.7806411,374.3164712,418.2434727,391.7668685,352.3964548,320.9687397,290.379888,263.9536849,248.9426301,224.6700452,205.5172831,179.5596671,169.1641123,161.5371753,142.364012,142.5558411,119.9801946,107.1593252,76.52829436,69.46091961,70.13602235,65.03001449,NA
"DJIBOUTI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"DOMINICA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"DOMINICAN REPUBLIC",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,-0.2,0.043513383,0.037153263,0.090471067,-0.1,-0.2,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.449,-0.389,-0.309,-0.392,-0.255,0.03028,-0.0348,-0.0851,-0.0834,-0.0868,-0.0296,-0.0899,-0.0872,-0.0909,-0.0919,-0.0932,-0.0881,-0.096354854,-0.095013859,-0.097246977,NA
"ECUADOR",208.7808219,177.0410959,160.8575342,187.5273224,183.3998932,201.7890411,214.0684932,204.1530055,211.1643836,210.8630137,237.1232877,257.9234973,281.2438356,293.2739726,174.0958904,302.1530055,278.7972603,285.0410959,299.0657534,320.9995492,341.6547945,379.2246575,384,382.8360656,391.1135507,378.1418685,375.7486986,404.1540683,432.7901205,393.8910137,422.6574603,526.7708825,534.6720192,538.7035918,505.6884712,507.7577022,488.5091973,489.1028767,502.1340219,507.6430792,531.0234082,561.5420575,548.3688411,552.4072295,535.9282877,522.2432662,536.3766894,484.8638239,475.6496459,483.768067,478.0209227,NA
"EGYPT",164.9999808,149.9999288,235.0000466,330.0000519,414.9999699,485.0002712,524.9999808,594.9997377,597.9997589,670.0000986,727.0287699,821.9999016,887.000063,813.000126,896.0000082,848.0000601,865.0003315,873.000726,874.0011233,881.218847,959.5616438,931,933,913,878,857,838,711.2113525,701.3217205,697.9362767,714.5203178,740.2960328,641.6489753,641.0235726,658.078863,668.9829071,680.2043288,694.9824247,702.2116438,704.8338197,707.3573836,707.0174521,717.4431644,685.4975137,711.5735258,729.812823,716.8338123,681.5823172,659.8219063,666.6487442,666.3163873,NA
"EL SALVADOR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00263546,-0.047689205,-0.055283356,0.01508158,-0.061505171,-0.1,-0.043107022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.204,0.966,5.308,4.297,4.197,1.823,-0.442,-0.305,-0.254,0.003,0.003,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,NA
"EQUATORIAL GUINEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,NA,4.671232877,7.756164384,17.67759563,59.77808219,81.52054795,102.3260274,117.6038251,193.9205479,230.2465753,265.9972603,374.6748634,380.1807096,375.7621315,363.257463,359.203153,346.0160685,322.7103836,298.8880329,310.4,290.7972603,278,268,244,202.7787671,184.9843836,166.7671233,157.5628415,142.5616438,128.3835616,97.53792433,NA
"ERITREA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ESTONIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08259328,5.090410959,5.753526027,5.983583562,6.71313388,7.153610959,4.276709589,3.011008219,4.685806011,5.024665753,5.542539726,6.09870137,6.532748634,4.794539726,8.361605479,8.150750685,7.6,9,10,11,11,13,13,16,14,18.39184658,21.55610137,22.59188767,22.91243443,21.84374247,21.21090685,23.74243562,NA
"ESWATINI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.431,0.551,0.827,0.827,0.775,0.81,0.775,0,0,0,0,0,0,0,NA
"ETHIOPIA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.05196,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.167,0.211,0.296,0.354,0,0,0,0,0,0,0,NA
"FALKLAND ISLANDS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"FAROE ISLANDS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"FIJI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"FINLAND",NA,NA,NA,NA,NA,NA,NA,-0.4,0.8,2,3.1,4.2,4.2,4.8,5.4,5.4,5.2,5.7,6.6,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.155,9.171,10.111,9.789,8.362,8.2552,14.7762,12.9023,14.0008,15.199,16.245,16.5121,9.3942,16.0481,16.2243,16.4589,16.0127,16.73502355,16.61781569,16.82755686,NA
"FORMER CZECHOSLOVAKIA",NA,NA,NA,NA,NA,NA,NA,2.1,2.1,2.1,2.1,-4.5,-4.3,-2.7,-2.2,-0.8,-0.2,0.8,2.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
